frame_id,condition,sent,comp_q,comp_a,type,version_id
8,NonTeleThe,"Yesterday at noon, the officer entered the station. He grabbed a coffee from the kitchen.",None,None,target,2
6,filler5,"During the workshop, several speakers shared their ideas and answered questions directly from the attendees.","In the events described, did workshop attendees ask questions?",1,filler,2
5,filler4,"After the match, several players thanked their coach and gave interviews in the waiting room.",Did the events described take place on the football field?,0,filler,2
14,TeleEach,"Before the parade, each drummer checked the drumsticks. He practiced quick beats on the snare.",None,None,target,2
20,filler19,"Around late spring, most travelers booked summer vacations and planned a trip to beach destinations.",Were most summer vacations planned to hiking destinations?,0,filler,2
17,filler16,"After classes ended, both janitors cleaned the floors and restocked paper towels in the bathrooms.",Did the paper towels in the bathrooms get restocked?,1,filler,2
20,NonTeleEvery,"Around late afternoon, every gardener trimmed the hedges and he fertilized the soil with fresh compost.",None,None,target,2
16,filler15,"After the storm, several volunteers organized relief efforts and delivered food to those in need.",None,None,filler,2
19,filler18,"Over the holidays, most neighbors shared homemade treats and decorated the streets in the neighborhood.",None,None,filler,2
11,TeleEach,"After the practice, each athlete organized the locker. He placed the helmet on the shelf.",Did the events described happen after practice?,1,target,2
16,NonTeleEvery,"Ahead of showtime, every stylist checked the mirror and he fixed the makeup behind the curtain.",None,None,target,2
3,NonTeleEach,"On Monday morning, each student arrived in class and he opened the textbook at the desk.",Did the events described take place in a dormitory?,0,target,2
8,filler7,"After the surgery, both surgeons reviewed the procedure and talked about the next treatment steps.",None,None,filler,2
15,TeleEach,"After the exam, each student reviewed the answers. He discussed the questions with some classmates.",Did the events described happen before the exam?,0,target,2
15,filler14,"During the festival, several musicians performed on stage and entertained the crowd with catchy songs.",None,None,filler,2
4,NonTeleEach,"On Sunday morning, each visitor entered the museum and he took some photos of the exhibition.",None,None,target,2
9,filler8,"Before the musical, most visitors bought a booklet and found a seat in the auditorium.","In the events described, is the booklet being sold for a fee?",1,filler,2
1,NonTeleEach,"Just before showtime, each performer stepped on stage and he adjusted the costume behind the curtain.",Did the events described happen before the show?,1,target,2
6,NonTeleThe,"In the evening, the guest entered the hall. He took a program from the entrance.",None,None,target,2
7,filler6,"During the tour, both guides explained the exhibit and handed out brochures to the visitors.","In the events described, did the visitors receive a souvenir?",0,filler,2
10,filler9,"In early fall, most teachers introduced new topics and prepared the class for the semester.",None,None,filler,2
17,NonTeleEvery,"Before the audition, every singer entered the studio and he collected a nametag at the reception.",Did the events described take place in a studio?,1,target,2
11,filler10,"Before the lecture, many students reviewed their notes and refreshed key concepts from last class.",None,None,filler,2
2,NonTeleEach,"At early sunrise, each fisherman sailed to sea and he cast a net into the water.",None,None,target,2
18,NonTeleEvery,"Before the dinner, every chef organized the ingredients. He marinated the meat in the fridge.",None,None,target,2
13,TeleEach,"Before the trial, each lawyer reviewed the case. He arranged the papers on the desk.",Did the events described happen before the trial?,1,target,2
4,filler3,"After the project, some architects discussed the design and made small adjustments to the blueprint.","In the events described, were the adjustments made to the budget plan?",0,filler,2
3,filler2,"After the ceremony, some graduates received a gift and took photos together near the stage.",None,None,filler,2
7,NonTeleThe,"In the morning, the student entered the classroom. He greeted the teacher with a smile.","In the events described, is the teacher in the schoolyard?",0,target,2
12,TeleEach,"Before the announcement, each reporter positioned the cameras. He adjusted the framing for the shot.",None,None,target,2
1,filler0,"After the meeting, many attendees left the office and grabbed a lunchbox in the lounge.","In the events described, was the lunchbox in the conference room?",0,filler,2
9,NonTeleThe,"After lunch break, the employee joined the meeting. He received the agenda from the manager.","In the events described, did a secretary distribute the agenda?",0,target,2
2,filler1,"Before the party, many guests changed their clothes and put on makeup in the bathroom.",Did the events described happen before the party?,1,filler,2
10,NonTeleThe,"After training hours, the player left the field. He took a shower in the building.",None,None,target,2
5,NonTeleEach,"During early rehearsals, each musician checked the acoustics and he practiced the music for the concert.",Did the events described happen during the rehearsals?,1,target,2
12,filler11,"On Friday morning, many shoppers visited the mall and bought groceries for the long weekend.",None,None,filler,2
19,NonTeleEvery,"In the morning, every artist mixed acrylic paint and he applied the paint to the canvas.","In the events described, was the paint applied to a wooden statue?",0,target,2
14,filler13,"After midnight yesterday, some neighbors heard strange noises and called the police to their house.",Did the noises occur after midnight?,1,filler,2
18,filler17,"Before the deadline, both writers edited the manuscript and formatted the document on their tablets.",None,None,filler,2
13,filler12,"Over spring break, some students relaxed at home and played video games all day long.",None,None,filler,2
