frame_id,condition,sent,comp_q,comp_a,type
1,TeleEach,"Just before showtime, each performer stepped on stage. He adjusted the costume behind the curtain.",Did the events described happen before the show?,1,target
1,NonTeleEvery,"Just before showtime, every performer stepped on stage and he adjusted the costume behind the curtain.",Did the events described happen before the show?,1,target
1,NonTeleEach,"Just before showtime, each performer stepped on stage and he adjusted the costume behind the curtain.",Did the events described happen before the show?,1,target
1,NonTeleThe,"Just before showtime, the performer stepped on stage. He adjusted the costume behind the curtain.",Did the events described happen before the show?,1,target
2,TeleEach,"At early sunrise, each fisherman sailed to sea. He cast a net into the water.",None,None,target
2,NonTeleEvery,"At early sunrise, every fisherman sailed to sea and he cast a net into the water.",None,None,target
2,NonTeleEach,"At early sunrise, each fisherman sailed to sea and he cast a net into the water.",None,None,target
2,NonTeleThe,"At early sunrise, the fisherman sailed to sea. He cast a net into the water.",None,None,target
3,TeleEach,"On Monday morning, each student arrived in class. He opened the textbook at the desk.",Did the events described take place in a dormitory?,0,target
3,NonTeleEvery,"On Monday morning, every student arrived in class and he opened the textbook at the desk.",Did the events described take place in a dormitory?,0,target
3,NonTeleEach,"On Monday morning, each student arrived in class and he opened the textbook at the desk.",Did the events described take place in a dormitory?,0,target
3,NonTeleThe,"On Monday morning, the student arrived in class. He opened the textbook at the desk.",Did the events described take place in a dormitory?,0,target
4,TeleEach,"On Sunday morning, each visitor entered the museum. He took some photos of the exhibition.",None,None,target
4,NonTeleEvery,"On Sunday morning, every visitor entered the museum and he took some photos of the exhibition.",None,None,target
4,NonTeleEach,"On Sunday morning, each visitor entered the museum and he took some photos of the exhibition.",None,None,target
4,NonTeleThe,"On Sunday morning, the visitor entered the museum. He took some photos of the exhibition.",None,None,target
5,TeleEach,"During early rehearsals, each musician checked the acoustics. He practiced the music for the concert.",Did the events described happen during the rehearsals?,1,target
5,NonTeleEvery,"During early rehearsals, every musician checked the acoustics and he practiced the music for the concert.",Did the events described happen during the rehearsals?,1,target
5,NonTeleEach,"During early rehearsals, each musician checked the acoustics and he practiced the music for the concert.",Did the events described happen during the rehearsals?,1,target
5,NonTeleThe,"During early rehearsals, the musician checked the acoustics. He practiced the music for the concert.",Did the events described happen during the rehearsals?,1,target
6,TeleEach,"In the evening, each guest entered the hall. He took a program from the entrance.",None,None,target
6,NonTeleEvery,"In the evening, every guest entered the hall and he took a program from the entrance.",None,None,target
6,NonTeleEach,"In the evening, each guest entered the hall and he took a program from the entrance.",None,None,target
6,NonTeleThe,"In the evening, the guest entered the hall. He took a program from the entrance.",None,None,target
7,TeleEach,"In the morning, each student entered the classroom. He greeted the teacher with a smile.","In the events described, is the teacher in the schoolyard?",0,target
7,NonTeleEvery,"In the morning, every student entered the classroom and he greeted the teacher with a smile.","In the events described, is the teacher in the schoolyard?",0,target
7,NonTeleEach,"In the morning, each student entered the classroom and he greeted the teacher with a smile.","In the events described, is the teacher in the schoolyard?",0,target
7,NonTeleThe,"In the morning, the student entered the classroom. He greeted the teacher with a smile.","In the events described, is the teacher in the schoolyard?",0,target
8,TeleEach,"Yesterday at noon, each officer entered the station. He grabbed a coffee from the kitchen.",None,None,target
8,NonTeleEvery,"Yesterday at noon, every officer entered the station and he grabbed a coffee from the kitchen.",None,None,target
8,NonTeleEach,"Yesterday at noon, each officer entered the station and he grabbed a coffee from the kitchen.",None,None,target
8,NonTeleThe,"Yesterday at noon, the officer entered the station. He grabbed a coffee from the kitchen.",None,None,target
9,TeleEach,"After lunch break, each employee joined the meeting. He received the agenda from the manager.","In the events described, did a secretary distribute the agenda?",0,target
9,NonTeleEvery,"After lunch break, every employee joined the meeting and he received the agenda from the manager.","In the events described, did a secretary distribute the agenda?",0,target
9,NonTeleEach,"After lunch break, each employee joined the meeting and he received the agenda from the manager.","In the events described, did a secretary distribute the agenda?",0,target
9,NonTeleThe,"After lunch break, the employee joined the meeting. He received the agenda from the manager.","In the events described, did a secretary distribute the agenda?",0,target
10,TeleEach,"After training hours, each player left the field. He took a shower in the building.",None,None,target
10,NonTeleEvery,"After training hours, every player left the field and he took a shower in the building.",None,None,target
10,NonTeleEach,"After training hours, each player left the field and he took a shower in the building.",None,None,target
10,NonTeleThe,"After training hours, the player left the field. He took a shower in the building.",None,None,target
11,TeleEach,"After the practice, each athlete organized the locker. He placed the helmet on the shelf.",Did the events described happen after practice?,1,target
11,NonTeleEvery,"After the practice, every athlete organized the locker and he placed the helmet on the shelf.",Did the events described happen after practice?,1,target
